,PRCP_US1UTWS0009,PRCP_USC00421285,PRCP_USC00421918,TMIN_USC00421918,TMAX_USC00421918,PRCP_USC00422294,TMIN_USC00422294,TMAX_USC00422294,PRCP_USC00422726,PRCP_USC00423335,TMIN_USC00424846,TMAX_USC00424846,PRCP_USC00425705,TMIN_USC00425705,TMAX_USC00425705,PRCP_USC00427255,TMIN_USC00427255,TMAX_USC00427255,PRCP_USC00427576,TMIN_USC00427576,PRCP_USC00428114,TMIN_USC00428114,TMAX_USC00428114,PRCP_USC00428668,PRCP_USC00428741,SNOW_USC00428741,SNWD_USC00428741,TMIN_USC00428741,TMAX_USC00428741,TMIN_USC00428939,TMAX_USC00428939,PRCP_USC00429133,TMIN_USC00429133,TMAX_USC00429133,PRCP_USC00429560,TMIN_USC00429560,TMAX_USC00429560,PRCP_USW00024126,SNOW_USW00024126,SNWD_USW00024126,TMIN_USW00024126,TMAX_USW00024126,depth
1958-11-26,0.0,0.0,0.0,-83.0,83.0,0.0,-100.0,56.0,0.0,0.0,-117.0,33.0,0.0,-100.0,44.0,0.0,-78.0,61.0,0.0,-50.0,0.0,-17.0,44.0,0.0,0.0,0.0,127.0,-56.0,44.0,-67.0,33.0,0.0,-94.0,61.0,0.0,-122.0,6.0,0.0,0.0,0.0,-44.0,72.0,
1958-11-27,0.0,0.0,0.0,-72.0,83.0,3.0,-111.0,33.0,0.0,28.0,-72.0,22.0,0.0,-56.0,33.0,0.0,-61.0,39.0,0.0,,23.0,-33.0,33.0,0.0,25.0,51.0,178.0,-61.0,50.0,-33.0,28.0,13.0,-78.0,44.0,3.0,-111.0,6.0,3.0,3.0,0.0,-50.0,33.0,
1958-11-28,0.0,0.0,0.0,-144.0,17.0,0.0,-156.0,22.0,0.0,0.0,-128.0,11.0,0.0,-133.0,22.0,0.0,-106.0,33.0,0.0,-78.0,0.0,-106.0,33.0,5.0,0.0,0.0,152.0,-89.0,6.0,-83.0,17.0,0.0,-156.0,11.0,0.0,-211.0,-56.0,0.0,0.0,0.0,-78.0,50.0,
1958-11-29,0.0,0.0,0.0,-133.0,17.0,0.0,-133.0,56.0,0.0,0.0,-122.0,28.0,0.0,-128.0,67.0,0.0,-89.0,56.0,0.0,,0.0,-67.0,44.0,0.0,0.0,0.0,152.0,-89.0,39.0,-78.0,50.0,0.0,-139.0,39.0,0.0,-200.0,-50.0,0.0,0.0,0.0,-67.0,56.0,
1958-11-30,0.0,0.0,0.0,-128.0,61.0,0.0,-128.0,83.0,0.0,0.0,-106.0,39.0,0.0,-122.0,78.0,0.0,-83.0,61.0,0.0,,0.0,-61.0,67.0,0.0,0.0,0.0,152.0,-83.0,50.0,-106.0,33.0,0.0,-133.0,56.0,0.0,-206.0,-39.0,0.0,0.0,0.0,-72.0,67.0,
1958-12-01,0.0,0.0,0.0,-128.0,61.0,0.0,-128.0,72.0,0.0,0.0,-117.0,56.0,0.0,-117.0,83.0,0.0,-72.0,72.0,0.0,-72.0,0.0,-50.0,72.0,0.0,0.0,0.0,152.0,-72.0,50.0,-94.0,67.0,0.0,-122.0,67.0,0.0,-194.0,33.0,0.0,0.0,0.0,-67.0,72.0,4195.3
1958-12-02,0.0,0.0,0.0,-128.0,72.0,0.0,-128.0,94.0,0.0,0.0,-56.0,94.0,0.0,-94.0,117.0,0.0,-44.0,94.0,0.0,-67.0,0.0,-44.0,72.0,0.0,0.0,0.0,127.0,-44.0,78.0,-83.0,72.0,0.0,-100.0,89.0,0.0,-150.0,78.0,0.0,0.0,0.0,-50.0,83.0,
1958-12-03,0.0,0.0,0.0,-128.0,83.0,0.0,-89.0,144.0,0.0,0.0,-17.0,106.0,0.0,-78.0,122.0,0.0,-11.0,83.0,0.0,-56.0,0.0,-33.0,89.0,0.0,0.0,0.0,127.0,-28.0,100.0,-72.0,94.0,0.0,-39.0,106.0,0.0,-94.0,100.0,0.0,0.0,0.0,-33.0,117.0,
1958-12-04,0.0,0.0,0.0,-94.0,128.0,0.0,6.0,106.0,0.0,0.0,-22.0,72.0,0.0,11.0,117.0,0.0,6.0,89.0,0.0,-33.0,0.0,-6.0,89.0,0.0,0.0,0.0,127.0,11.0,122.0,-44.0,83.0,0.0,0.0,100.0,0.0,-22.0,72.0,0.0,0.0,0.0,-17.0,106.0,
1958-12-05,0.0,0.0,0.0,-94.0,100.0,0.0,-56.0,144.0,0.0,0.0,-50.0,83.0,0.0,-78.0,133.0,0.0,-56.0,111.0,0.0,-44.0,0.0,-33.0,117.0,0.0,0.0,0.0,102.0,-33.0,78.0,-78.0,94.0,0.0,-50.0,128.0,0.0,-100.0,56.0,0.0,0.0,0.0,-44.0,100.0,
1958-12-06,0.0,0.0,0.0,-94.0,111.0,0.0,-33.0,122.0,0.0,0.0,6.0,83.0,0.0,-17.0,122.0,0.0,11.0,83.0,0.0,-33.0,0.0,-6.0,122.0,0.0,0.0,0.0,76.0,6.0,100.0,-39.0,89.0,0.0,-17.0,122.0,0.0,-67.0,67.0,0.0,0.0,0.0,0.0,122.0,
1958-12-07,0.0,0.0,0.0,-78.0,50.0,8.0,-61.0,106.0,0.0,0.0,-6.0,78.0,0.0,-39.0,117.0,0.0,11.0,72.0,0.0,,0.0,-11.0,72.0,0.0,0.0,0.0,51.0,6.0,89.0,-56.0,72.0,0.0,-33.0,128.0,0.0,-33.0,83.0,23.0,0.0,0.0,-22.0,122.0,
1958-12-08,8.0,76.0,23.0,-67.0,128.0,8.0,17.0,83.0,25.0,0.0,-6.0,56.0,0.0,28.0,139.0,76.0,0.0,72.0,13.0,,0.0,28.0,78.0,36.0,0.0,0.0,0.0,44.0,89.0,22.0,89.0,51.0,11.0,94.0,8.0,0.0,50.0,0.0,0.0,0.0,33.0,89.0,
1958-12-09,15.0,33.0,0.0,11.0,128.0,10.0,6.0,83.0,8.0,0.0,-17.0,56.0,0.0,17.0,72.0,74.0,-6.0,44.0,5.0,33.0,38.0,22.0,78.0,25.0,0.0,0.0,0.0,28.0,94.0,17.0,83.0,36.0,6.0,78.0,0.0,-11.0,39.0,13.0,0.0,0.0,22.0,94.0,
1958-12-10,0.0,0.0,0.0,-33.0,72.0,0.0,-33.0,117.0,0.0,0.0,-39.0,56.0,0.0,-33.0,106.0,0.0,17.0,100.0,0.0,-11.0,0.0,6.0,111.0,0.0,0.0,0.0,0.0,6.0,106.0,-22.0,83.0,0.0,-22.0,89.0,0.0,-56.0,56.0,0.0,0.0,0.0,-6.0,122.0,
1958-12-11,43.0,56.0,5.0,-28.0,44.0,0.0,28.0,67.0,5.0,0.0,17.0,72.0,0.0,33.0,89.0,97.0,39.0,67.0,3.0,-11.0,0.0,39.0,78.0,117.0,0.0,0.0,0.0,39.0,117.0,11.0,83.0,0.0,22.0,61.0,0.0,-22.0,67.0,18.0,0.0,0.0,61.0,94.0,
1958-12-12,53.0,43.0,76.0,17.0,100.0,58.0,-11.0,78.0,13.0,0.0,-17.0,67.0,5.0,33.0,100.0,36.0,22.0,89.0,3.0,50.0,28.0,17.0,83.0,48.0,13.0,0.0,0.0,11.0,133.0,33.0,89.0,74.0,-6.0,67.0,15.0,-22.0,61.0,10.0,0.0,0.0,-6.0,106.0,
1958-12-13,0.0,0.0,0.0,-100.0,67.0,0.0,-50.0,56.0,0.0,0.0,-44.0,33.0,0.0,-67.0,72.0,0.0,-22.0,44.0,0.0,,0.0,-39.0,78.0,0.0,0.0,0.0,0.0,-28.0,39.0,-67.0,33.0,0.0,-61.0,28.0,0.0,-44.0,17.0,0.0,0.0,0.0,-39.0,61.0,
1958-12-14,0.0,0.0,0.0,-122.0,44.0,0.0,-106.0,56.0,0.0,0.0,-94.0,17.0,0.0,-89.0,56.0,0.0,-67.0,39.0,0.0,,0.0,-56.0,72.0,0.0,0.0,0.0,0.0,-72.0,39.0,-83.0,50.0,0.0,-89.0,50.0,0.0,-117.0,-11.0,0.0,0.0,0.0,-61.0,67.0,
1958-12-15,0.0,0.0,0.0,-128.0,44.0,0.0,-111.0,72.0,0.0,0.0,-94.0,44.0,0.0,-100.0,78.0,0.0,-61.0,61.0,0.0,-61.0,0.0,-56.0,89.0,0.0,0.0,0.0,0.0,-50.0,56.0,-89.0,56.0,0.0,-72.0,94.0,0.0,-128.0,22.0,0.0,0.0,0.0,-56.0,78.0,
1958-12-16,0.0,0.0,0.0,-128.0,56.0,0.0,-111.0,72.0,0.0,0.0,-44.0,89.0,0.0,-72.0,56.0,0.0,-22.0,78.0,0.0,-56.0,0.0,-33.0,83.0,0.0,0.0,0.0,0.0,-33.0,67.0,-78.0,78.0,0.0,-33.0,72.0,0.0,-67.0,89.0,0.0,0.0,0.0,-50.0,61.0,
1958-12-17,0.0,0.0,0.0,-106.0,61.0,0.0,-106.0,106.0,0.0,0.0,-44.0,89.0,0.0,-72.0,94.0,0.0,-33.0,89.0,0.0,-39.0,0.0,-22.0,106.0,0.0,0.0,0.0,0.0,-17.0,83.0,-67.0,83.0,0.0,-61.0,89.0,0.0,-94.0,61.0,0.0,0.0,0.0,-44.0,89.0,
1958-12-18,0.0,0.0,0.0,-111.0,89.0,0.0,-89.0,128.0,0.0,0.0,-67.0,100.0,0.0,-22.0,111.0,0.0,17.0,94.0,0.0,,0.0,-11.0,128.0,0.0,0.0,0.0,0.0,-22.0,89.0,-78.0,122.0,0.0,-44.0,139.0,0.0,-100.0,111.0,0.0,0.0,0.0,-50.0,89.0,
1958-12-19,0.0,0.0,0.0,-106.0,94.0,0.0,-67.0,117.0,0.0,0.0,-11.0,94.0,0.0,-61.0,122.0,0.0,-11.0,100.0,0.0,-44.0,0.0,-17.0,117.0,0.0,0.0,0.0,0.0,-28.0,83.0,-67.0,78.0,0.0,-56.0,100.0,0.0,-50.0,106.0,0.0,0.0,0.0,-50.0,94.0,
